nohup: ignoring input
26 Mar 2018 00:56:15,899 DEBUG - Graphulo.TwoTable(738) -  4201401%00; :%00; [1] -> 113592 entries processed
26 Mar 2018 00:56:17,204 DEBUG - Graphulo.TwoTable(738) -  4583096%00; :%00; [1] -> 175444 entries processed
26 Mar 2018 00:56:17,236 DEBUG - Graphulo.TwoTable(738) -  5833889%00; :%00; [1] -> 388904 entries processed
26 Mar 2018 00:56:17,237 DEBUG - Graphulo.TwoTable(738) -  5851789%00; :%00; [1] -> 378000 entries processed
26 Mar 2018 00:56:17,495 DEBUG - Graphulo.TwoTable(738) -  5277201%00; :%00; [1] -> 214560 entries processed
26 Mar 2018 00:56:17,602 DEBUG - Graphulo.TwoTable(738) -  4671127%00; :%00; [1] -> 171798 entries processed
26 Mar 2018 00:56:18,297 DEBUG - Graphulo.TwoTable(738) -  4627641%00; :%00; [1] -> 178844 entries processed
26 Mar 2018 00:56:18,684 DEBUG - Graphulo.TwoTable(738) -  4504378%00; :%00; [1] -> 140084 entries processed
26 Mar 2018 00:56:19,579 DEBUG - Graphulo.TwoTable(738) -  5997383%00; :%00; [1] -> 760484 entries processed
26 Mar 2018 00:56:19,771 DEBUG - Graphulo.TwoTable(738) -  5948274%00; :%00; [1] -> 406658 entries processed
26 Mar 2018 00:56:19,819 DEBUG - Graphulo.TwoTable(738) -  4223665%00; :%00; [1] -> 118038 entries processed
26 Mar 2018 00:56:19,820 DEBUG - Graphulo.TwoTable(738) -  4258983%00; :%00; [1] -> 125338 entries processed
26 Mar 2018 00:56:19,847 DEBUG - Graphulo.TwoTable(738) -  4187347%00; :%00; [1] -> 106322 entries processed
26 Mar 2018 00:56:19,887 DEBUG - Graphulo.TwoTable(738) -  5577661%00; :%00; [1] -> 369516 entries processed
26 Mar 2018 00:56:19,888 DEBUG - Graphulo.TwoTable(738) -  4938346%00; :%00; [1] -> 202944 entries processed
26 Mar 2018 00:56:19,888 DEBUG - Graphulo.TwoTable(738) -  4175890%00; :%00; [1] -> 110530 entries processed
26 Mar 2018 00:56:19,980 DEBUG - Graphulo.TwoTable(738) -  5553752%00; :%00; [1] -> 617884 entries processed
26 Mar 2018 00:56:19,980 DEBUG - Graphulo.TwoTable(738) -  5677989%00; :%00; [1] -> 424354 entries processed
26 Mar 2018 00:56:20,066 DEBUG - Graphulo.TwoTable(738) -  4051021%00; :%00; [1] -> 95440 entries processed
26 Mar 2018 00:56:20,129 DEBUG - Graphulo.TwoTable(738) -  5269723%00; :%00; [1] -> 239318 entries processed
26 Mar 2018 00:56:20,129 DEBUG - Graphulo.TwoTable(738) -  5636349%00; :%00; [1] -> 381192 entries processed
26 Mar 2018 00:56:20,323 DEBUG - Graphulo.TwoTable(738) -  4017238%00; :%00; [1] -> 92078 entries processed
26 Mar 2018 00:56:20,324 DEBUG - Graphulo.TwoTable(738) -  5136189%00; :%00; [1] -> 225206 entries processed
26 Mar 2018 00:56:20,324 DEBUG - Graphulo.TwoTable(738) -  5515457%00; :%00; [1] -> 344574 entries processed
26 Mar 2018 00:56:20,367 DEBUG - Graphulo.TwoTable(738) -  5222948%00; :%00; [1] -> 269054 entries processed
26 Mar 2018 00:56:20,367 DEBUG - Graphulo.TwoTable(738) -  5375001%00; :%00; [1] -> 291612 entries processed
26 Mar 2018 00:56:20,408 DEBUG - Graphulo.TwoTable(738) -  4069679%00; :%00; [1] -> 96992 entries processed
26 Mar 2018 00:56:20,409 DEBUG - Graphulo.TwoTable(738) -  4698105%00; :%00; [1] -> 164612 entries processed
26 Mar 2018 00:56:20,443 DEBUG - Graphulo.TwoTable(738) -  5959883%00; :%00; [1] -> 457288 entries processed
26 Mar 2018 00:56:20,445 DEBUG - Graphulo.TwoTable(738) -  5174861%00; :%00; [1] -> 243052 entries processed
26 Mar 2018 00:56:20,446 DEBUG - Graphulo.TwoTable(738) -  5968191%00; :%00; [1] -> 569088 entries processed
