nohup: ignoring input
26 Mar 2018 04:23:54,661 DEBUG - Graphulo.TwoTable(738) -  1007204%00; :%00; [1] -> 739632 entries processed
26 Mar 2018 04:23:55,989 DEBUG - Graphulo.TwoTable(738) -  119867%00; :%00; [1] -> 21588 entries processed
26 Mar 2018 04:23:56,010 DEBUG - Graphulo.TwoTable(738) -  1679155%00; :%00; [1] -> 282918 entries processed
26 Mar 2018 04:23:56,017 DEBUG - Graphulo.TwoTable(738) -  298517%00; :%00; [1] -> 501528 entries processed
26 Mar 2018 04:23:56,035 DEBUG - Graphulo.TwoTable(738) -  2916263%00; :%00; [1] -> 1728306 entries processed
26 Mar 2018 04:23:56,054 DEBUG - Graphulo.TwoTable(738) -  12337%00; :%00; [1] -> 387036 entries processed
26 Mar 2018 04:23:56,086 DEBUG - Graphulo.TwoTable(738) -  2948075%00; :%00; [1] -> 3799262 entries processed
26 Mar 2018 04:23:56,145 DEBUG - Graphulo.TwoTable(738) -  2802200%00; :%00; [1] -> 4604146 entries processed
26 Mar 2018 04:23:57,219 DEBUG - Graphulo.TwoTable(738) -  139684%00; :%00; [1] -> 543434 entries processed
26 Mar 2018 04:23:58,527 DEBUG - Graphulo.TwoTable(738) -  148056%00; :%00; [1] -> 1596376 entries processed
26 Mar 2018 04:23:58,946 DEBUG - Graphulo.TwoTable(738) -  1276824%00; :%00; [1] -> 1642924 entries processed
26 Mar 2018 04:23:58,963 DEBUG - Graphulo.TwoTable(738) -  128864%00; :%00; [1] -> 2474348 entries processed
26 Mar 2018 04:23:59,106 DEBUG - Graphulo.TwoTable(738) -  699152%00; :%00; [1] -> 1275008 entries processed
26 Mar 2018 04:23:59,332 DEBUG - Graphulo.TwoTable(738) -  4433686%00; :%00; [1] -> 1801842 entries processed
26 Mar 2018 04:23:59,423 DEBUG - Graphulo.TwoTable(738) -  130019%00; :%00; [1] -> 1459502 entries processed
26 Mar 2018 04:23:59,427 DEBUG - Graphulo.TwoTable(738) -  4016319%00; :%00; [1] -> 2037398 entries processed
26 Mar 2018 04:24:00,396 DEBUG - Graphulo.TwoTable(738) -  1216208%00; :%00; [1] -> 1978480 entries processed
26 Mar 2018 04:24:00,700 DEBUG - Graphulo.TwoTable(738) -  2552237%00; :%00; [1] -> 3091814 entries processed
26 Mar 2018 04:24:01,558 DEBUG - Graphulo.TwoTable(738) -  2311491%00; :%00; [1] -> 2559578 entries processed
26 Mar 2018 04:24:01,739 DEBUG - Graphulo.TwoTable(738) -  703688%00; :%00; [1] -> 3698300 entries processed
26 Mar 2018 04:24:02,556 DEBUG - Graphulo.TwoTable(738) -  533695%00; :%00; [1] -> 3563360 entries processed
26 Mar 2018 04:24:02,658 DEBUG - Graphulo.TwoTable(738) -  100742%00; :%00; [1] -> 4864350 entries processed
26 Mar 2018 04:24:03,018 DEBUG - Graphulo.TwoTable(738) -  3433268%00; :%00; [1] -> 5496836 entries processed
26 Mar 2018 04:24:03,107 DEBUG - Graphulo.TwoTable(738) -  220666%00; :%00; [1] -> 1279862 entries processed
26 Mar 2018 04:24:03,123 DEBUG - Graphulo.TwoTable(738) -  776728%00; :%00; [1] -> 3163442 entries processed
26 Mar 2018 04:24:03,332 DEBUG - Graphulo.TwoTable(738) -  1331387%00; :%00; [1] -> 3472928 entries processed
26 Mar 2018 04:24:03,553 DEBUG - Graphulo.TwoTable(738) -  320798%00; :%00; [1] -> 126026 entries processed
26 Mar 2018 04:24:03,703 DEBUG - Graphulo.TwoTable(738) -  1119186%00; :%00; [1] -> 6047430 entries processed
26 Mar 2018 04:24:03,713 DEBUG - Graphulo.TwoTable(738) -  1175008%00; :%00; [1] -> 1249158 entries processed
26 Mar 2018 04:24:03,733 DEBUG - Graphulo.TwoTable(738) -  773952%00; :%00; [1] -> 3495448 entries processed
26 Mar 2018 04:24:03,734 DEBUG - Graphulo.TwoTable(738) -  2375764%00; :%00; [1] -> 1310536 entries processed
26 Mar 2018 04:24:03,748 DEBUG - Graphulo.TwoTable(738) -  2039201%00; :%00; [1] -> 3111352 entries processed
26 Mar 2018 04:24:03,776 DEBUG - Graphulo.TwoTable(738) -  2887803%00; :%00; [1] -> 1371760 entries processed
26 Mar 2018 04:24:03,998 DEBUG - Graphulo.TwoTable(738) -  1454610%00; :%00; [1] -> 3386094 entries processed
26 Mar 2018 04:24:04,001 DEBUG - Graphulo.TwoTable(738) -  1177552%00; :%00; [1] -> 4312350 entries processed
26 Mar 2018 04:24:04,176 DEBUG - Graphulo.TwoTable(738) -  766947%00; :%00; [1] -> 3642038 entries processed
26 Mar 2018 04:24:04,740 DEBUG - Graphulo.TwoTable(738) -  1615113%00; :%00; [1] -> 2979008 entries processed
26 Mar 2018 04:24:04,939 DEBUG - Graphulo.TwoTable(738) -  1682044%00; :%00; [1] -> 3824774 entries processed
26 Mar 2018 04:24:05,540 DEBUG - Graphulo.TwoTable(738) -  824910%00; :%00; [1] -> 1897646 entries processed
26 Mar 2018 04:24:06,088 DEBUG - Graphulo.TwoTable(738) -  1160828%00; :%00; [1] -> 2556124 entries processed
26 Mar 2018 04:24:06,791 DEBUG - Graphulo.TwoTable(738) -  3545535%00; :%00; [1] -> 3173314 entries processed
26 Mar 2018 04:24:07,021 DEBUG - Graphulo.TwoTable(738) -  1295828%00; :%00; [1] -> 3772776 entries processed
26 Mar 2018 04:24:07,022 DEBUG - Graphulo.TwoTable(738) -  1355381%00; :%00; [1] -> 778288 entries processed
26 Mar 2018 04:24:07,099 DEBUG - Graphulo.TwoTable(738) -  167985%00; :%00; [1] -> 1523326 entries processed
26 Mar 2018 04:24:07,183 DEBUG - Graphulo.TwoTable(738) -  500014%00; :%00; [1] -> 6220102 entries processed
26 Mar 2018 04:24:07,279 DEBUG - Graphulo.TwoTable(738) -  201223%00; :%00; [1] -> 1212076 entries processed
26 Mar 2018 04:24:07,745 DEBUG - Graphulo.TwoTable(738) -  142941%00; :%00; [1] -> 1524116 entries processed
26 Mar 2018 04:24:07,792 DEBUG - Graphulo.TwoTable(738) -  503357%00; :%00; [1] -> 5617648 entries processed
26 Mar 2018 04:24:07,920 DEBUG - Graphulo.TwoTable(738) -  2013571%00; :%00; [1] -> 2694492 entries processed
26 Mar 2018 04:24:09,698 DEBUG - Graphulo.TwoTable(738) -  102457%00; :%00; [1] -> 7753228 entries processed
26 Mar 2018 04:24:10,507 DEBUG - Graphulo.TwoTable(738) -  1166883%00; :%00; [1] -> 4095196 entries processed
26 Mar 2018 04:24:11,303 DEBUG - Graphulo.TwoTable(738) -  2820999%00; :%00; [1] -> 4827234 entries processed
26 Mar 2018 04:24:11,323 DEBUG - Graphulo.TwoTable(738) -  998155%00; :%00; [1] -> 5326160 entries processed
26 Mar 2018 04:24:11,402 DEBUG - Graphulo.TwoTable(738) -  2778309%00; :%00; [1] -> 3358312 entries processed
26 Mar 2018 04:24:13,081 DEBUG - Graphulo.TwoTable(738) -  566318%00; :%00; [1] -> 8938396 entries processed
26 Mar 2018 04:24:15,789 DEBUG - Graphulo.TwoTable(738) -  717222%00; :%00; [1] -> 4806374 entries processed
26 Mar 2018 04:24:15,965 DEBUG - Graphulo.TwoTable(738) -  3035249%00; :%00; [1] -> 2946592 entries processed
26 Mar 2018 04:24:16,159 DEBUG - Graphulo.TwoTable(738) -  2644898%00; :%00; [1] -> 3004658 entries processed
26 Mar 2018 04:24:22,664 DEBUG - Graphulo.TwoTable(738) -  751642%00; :%00; [1] -> 2003870 entries processed
26 Mar 2018 04:24:22,746 DEBUG - Graphulo.TwoTable(738) -  856102%00; :%00; [1] -> 3471744 entries processed
26 Mar 2018 04:24:22,793 DEBUG - Graphulo.TwoTable(738) -  248673%00; :%00; [1] -> 1202542 entries processed
26 Mar 2018 04:24:22,798 DEBUG - Graphulo.TwoTable(738) -  276602%00; :%00; [1] -> 1322872 entries processed
26 Mar 2018 04:24:23,847 DEBUG - Graphulo.TwoTable(738) -  38140%00; :%00; [1] -> 1588174 entries processed
26 Mar 2018 04:24:23,861 DEBUG - Graphulo.TwoTable(738) -  1894757%00; :%00; [1] -> 448374 entries processed
26 Mar 2018 04:24:24,709 DEBUG - Graphulo.TwoTable(738) -  3242170%00; :%00; [1] -> 1222668 entries processed
26 Mar 2018 04:24:25,708 DEBUG - Graphulo.TwoTable(738) -  1291814%00; :%00; [1] -> 3518462 entries processed
26 Mar 2018 04:24:26,309 DEBUG - Graphulo.TwoTable(738) -  3926321%00; :%00; [1] -> 15632286 entries processed
26 Mar 2018 04:24:27,399 DEBUG - Graphulo.TwoTable(738) -  1293995%00; :%00; [1] -> 2457814 entries processed
26 Mar 2018 04:24:28,105 DEBUG - Graphulo.TwoTable(738) -  2097662%00; :%00; [1] -> 4247628 entries processed
26 Mar 2018 04:24:28,331 DEBUG - Graphulo.TwoTable(738) -  417981%00; :%00; [1] -> 1664366 entries processed
26 Mar 2018 04:24:29,431 DEBUG - Graphulo.TwoTable(738) -  105849%00; :%00; [1] -> 1448984 entries processed
26 Mar 2018 04:24:29,786 DEBUG - Graphulo.TwoTable(738) -  328432%00; :%00; [1] -> 2712586 entries processed
