nohup: ignoring input
26 Mar 2018 02:00:13,843 DEBUG - Graphulo.TwoTable(738) -  681142%00; :%00; [1] -> 1260658 entries processed
26 Mar 2018 02:00:13,947 DEBUG - Graphulo.TwoTable(738) -  114674%00; :%00; [1] -> 4416168 entries processed
26 Mar 2018 02:00:14,059 DEBUG - Graphulo.TwoTable(738) -  2780%00; :%00; [1] -> 5459574 entries processed
26 Mar 2018 02:00:14,103 DEBUG - Graphulo.TwoTable(738) -  104133%00; :%00; [1] -> 4693584 entries processed
26 Mar 2018 02:00:14,107 DEBUG - Graphulo.TwoTable(738) -  265945%00; :%00; [1] -> 2028864 entries processed
26 Mar 2018 02:00:14,122 DEBUG - Graphulo.TwoTable(738) -  800888%00; :%00; [1] -> 1930874 entries processed
26 Mar 2018 02:00:14,123 DEBUG - Graphulo.TwoTable(738) -  3221%00; :%00; [1] -> 1720546 entries processed
26 Mar 2018 02:00:14,257 DEBUG - Graphulo.TwoTable(738) -  20025%00; :%00; [1] -> 687418 entries processed
26 Mar 2018 02:00:14,257 DEBUG - Graphulo.TwoTable(738) -  601655%00; :%00; [1] -> 11028 entries processed
26 Mar 2018 02:00:14,259 DEBUG - Graphulo.TwoTable(738) -  1020498%00; :%00; [1] -> 7228 entries processed
26 Mar 2018 02:00:14,259 DEBUG - Graphulo.TwoTable(738) -  39960%00; :%00; [1] -> 23126 entries processed
26 Mar 2018 02:00:14,259 DEBUG - Graphulo.TwoTable(738) -  13880%00; :%00; [1] -> 85956 entries processed
26 Mar 2018 02:00:14,260 DEBUG - Graphulo.TwoTable(738) -  112232%00; :%00; [1] -> 72012 entries processed
26 Mar 2018 02:00:14,260 DEBUG - Graphulo.TwoTable(738) -  22899%00; :%00; [1] -> 63788 entries processed
26 Mar 2018 02:00:14,260 DEBUG - Graphulo.TwoTable(738) -  331201%00; :%00; [1] -> 138626 entries processed
26 Mar 2018 02:00:14,261 DEBUG - Graphulo.TwoTable(738) -  3171%00; :%00; [1] -> 67432 entries processed
26 Mar 2018 02:00:14,273 DEBUG - Graphulo.TwoTable(738) -  439244%00; :%00; [1] -> 25632 entries processed
26 Mar 2018 02:00:14,273 DEBUG - Graphulo.TwoTable(738) -  852512%00; :%00; [1] -> 57128 entries processed
26 Mar 2018 02:00:14,274 DEBUG - Graphulo.TwoTable(738) -  9406%00; :%00; [1] -> 433868 entries processed
26 Mar 2018 02:00:14,274 DEBUG - Graphulo.TwoTable(738) -  155432%00; :%00; [1] -> 172976 entries processed
26 Mar 2018 02:00:14,277 DEBUG - Graphulo.TwoTable(738) -  139423%00; :%00; [1] -> 274766 entries processed
26 Mar 2018 02:00:14,278 DEBUG - Graphulo.TwoTable(738) -  301626%00; :%00; [1] -> 148954 entries processed
26 Mar 2018 02:00:14,279 DEBUG - Graphulo.TwoTable(738) -  4294%00; :%00; [1] -> 749058 entries processed
26 Mar 2018 02:00:14,279 DEBUG - Graphulo.TwoTable(738) -  1761%00; :%00; [1] -> 27914 entries processed
26 Mar 2018 02:00:14,280 DEBUG - Graphulo.TwoTable(738) -  62876%00; :%00; [1] -> 284388 entries processed
26 Mar 2018 02:00:14,280 DEBUG - Graphulo.TwoTable(738) -  62825%00; :%00; [1] -> 239854 entries processed
26 Mar 2018 02:00:14,284 DEBUG - Graphulo.TwoTable(738) -  96747%00; :%00; [1] -> 17848 entries processed
26 Mar 2018 02:00:14,284 DEBUG - Graphulo.TwoTable(738) -  95370%00; :%00; [1] -> 145590 entries processed
26 Mar 2018 02:00:14,284 DEBUG - Graphulo.TwoTable(738) -  771333%00; :%00; [1] -> 691840 entries processed
26 Mar 2018 02:00:14,285 DEBUG - Graphulo.TwoTable(738) -  957%00; :%00; [1] -> 73386 entries processed
26 Mar 2018 02:00:14,293 DEBUG - Graphulo.TwoTable(738) -  107406%00; :%00; [1] -> 597082 entries processed
26 Mar 2018 02:00:14,294 DEBUG - Graphulo.TwoTable(738) -  386%00; :%00; [1] -> 118214 entries processed
26 Mar 2018 02:00:14,321 DEBUG - Graphulo.TwoTable(738) -  49693%00; :%00; [1] -> 1590646 entries processed
26 Mar 2018 02:00:14,444 DEBUG - Graphulo.TwoTable(738) -  2662%00; :%00; [1] -> 77650 entries processed
26 Mar 2018 02:00:14,444 DEBUG - Graphulo.TwoTable(738) -  2633%00; :%00; [1] -> 2908 entries processed
26 Mar 2018 02:00:14,472 DEBUG - Graphulo.TwoTable(738) -  28639%00; :%00; [1] -> 21806 entries processed
26 Mar 2018 02:00:14,472 DEBUG - Graphulo.TwoTable(738) -  22410%00; :%00; [1] -> 423592 entries processed
26 Mar 2018 02:00:14,487 DEBUG - Graphulo.TwoTable(738) -  88451%00; :%00; [1] -> 263304 entries processed
26 Mar 2018 02:00:14,487 DEBUG - Graphulo.TwoTable(738) -  45101%00; :%00; [1] -> 1498 entries processed
26 Mar 2018 02:00:14,488 DEBUG - Graphulo.TwoTable(738) -  47764%00; :%00; [1] -> 615504 entries processed
26 Mar 2018 02:00:14,488 DEBUG - Graphulo.TwoTable(738) -  88839%00; :%00; [1] -> 9530 entries processed
26 Mar 2018 02:00:14,489 DEBUG - Graphulo.TwoTable(738) -  1116361%00; :%00; [1] -> 13404 entries processed
26 Mar 2018 02:00:14,489 DEBUG - Graphulo.TwoTable(738) -  343611%00; :%00; [1] -> 114134 entries processed
26 Mar 2018 02:00:14,502 DEBUG - Graphulo.TwoTable(738) -  41806%00; :%00; [1] -> 59480 entries processed
26 Mar 2018 02:00:14,503 DEBUG - Graphulo.TwoTable(738) -  9251%00; :%00; [1] -> 61986 entries processed
