260,5420345080,0,0,0,0
1927,5402961360,114,2,114,2
2062,5430560192,228,4,228,4
1976,5401886440,185,4,185,4
1919,5439844272,570,10,570,10
1939,5421324936,1577,30,1577,30
1929,5398082760,3878,78,3878,78
1913,5390103648,8773,176,8773,176
1881,5414871256,15239,302,15239,302
1881,5410678680,36082,732,36082,732
1917,5458045760,88194,1824,88194,1824
1979,5451938768,191540,4322,191540,4322
1862,5442264864,439233,11086,439233,11086
2088,5426913424,1099470,30006,1099470,30006
2214,5450732152,3024202,86776,3024202,86776
2447,5468138632,9562843,290632,9562843,290632
3532,5519731704,36582287,1280278,36582287,1280278
5081,4509862330,175012233,9483618,175012233,9483618
73826,208669646,5707634063,856357353,5707634063,856357353
46437,1081646618,859263456,136950782,859263456,136950782
