279,5424219208,0,0,0,0
1844,5440615040,114,2,114,2
1887,5420890688,228,4,228,4
1959,5456182576,185,4,185,4
1883,5422149232,570,10,570,10
1805,5444568104,1577,30,1577,30
1919,5444289216,3878,78,3878,78
1965,5458390192,8773,176,8773,176
2077,5428535888,15439,304,15439,304
1854,5457396200,36082,732,36082,732
1945,5411627336,88379,1828,88379,1828
1858,5436108440,191503,4328,191503,4328
1862,5467961880,440505,11118,440505,11118
1989,5430248480,1103154,30116,1103154,30116
2354,5446777088,3038059,87196,3038059,87196
2869,5435215376,9621522,292456,9621522,292456
3902,5510045336,37026848,1299768,37026848,1299768
6569,4532053204,188334499,10622118,188334499,10622118
128027,1081646618,5717750092,857190792,5717750092,857190792
